Location,MAC Address,Avg signal strength,"standard deviation, if applicable",sample size
231,64:a0:e7:db:fe:54,-43.8,13.227245,5
231,64:a0:e7:db:fe:5b,-64.7,0.90000004,10
231,64:a0:e7:db:fe:5c,-61.6,5.782732,10
231,64:a0:e7:db:fe:5d,-63.166668,1.9507835,12
231,64:a0:e7:db:fe:5e,-63.166668,1.9507835,12
231,64:a0:e7:db:fe:5f,-62.916668,1.4409682,12
231,64:a0:e7:f8:de:30,-74,0,3
231,64:a0:e7:f8:de:31,-67,6.928203,4
231,64:a0:e7:f8:de:3b,-79.5,2.5,6
231,64:a0:e7:f8:de:3c,-74.2,0.4,10
231,64:a0:e7:f8:de:3d,-72.666664,0.74535596,12
231,64:a0:e7:f8:de:3e,-73.27273,1.4826825,11
231,64:a0:e7:f8:de:3f,-74.75,2.8321075,12
231,64:a0:e7:fe:3b:e0,-70,0,3
231,64:a0:e7:fe:3b:e2,-71,2,6
231,64:a0:e7:fe:3b:e4,-74.14286,0.98974335,7
231,64:a0:e7:fe:3b:eb,-79.6,1.1999999,10
231,64:a0:e7:fe:3b:ec,-76,0,2
231,64:a0:e7:fe:3b:ed,-76.3,1.1874343,10
231,64:a0:e7:fe:3b:ee,-76.5,1.6881943,10
231,64:a0:e7:fe:3b:ef,-76.25,1.299038,12
231,64:a0:e7:fe:40:e0,-55.8,2.1817424,10
231,64:a0:e7:fe:40:e1,-59.4,2.4576411,10
231,64:a0:e7:fe:40:e2,-55.3,2.2825425,10
231,64:a0:e7:fe:40:e3,-59,2.309401,6
231,64:a0:e7:fe:40:e4,-54.7,3.163858,10
231,64:a0:e7:fe:40:eb,-66,2,6
231,64:a0:e7:fe:40:ec,-65.25,3.0310888,12
231,64:a0:e7:fe:40:ed,-64.666664,1.3123347,12
231,64:a0:e7:fe:40:ee,-64.083336,1.2555432,12
231,64:a0:e7:fe:40:ef,-64.833336,1.6244657,12
231,64:a0:e7:fe:45:bc,-90,0,7
231,64:a0:e7:fe:45:be,-89,0,6
231,64:a0:e7:fe:45:bf,-90,0,3
231,64:a0:e7:fe:47:00,-76.75,0.4330127,4
231,64:a0:e7:fe:47:01,-76,0,3
231,64:a0:e7:fe:47:02,-78.2,0.979796,10
231,64:a0:e7:fe:47:03,-77.166664,1.6749793,6
231,64:a0:e7:fe:47:04,-78.8,1.4696939,10
231,64:a0:e7:fe:47:0b,-88.7,1.486607,10
231,64:a0:e7:fe:47:0c,-89,0.70710677,8
231,64:a0:e7:fe:47:0d,-88.1,0.8306624,10
231,64:a0:e7:fe:47:0e,-88.666664,1.1785113,12
231,64:a0:e7:fe:47:0f,-89,0,1
231,64:a0:e7:ff:46:f2,-85.666664,0.4714045,3
231,64:a0:e7:ff:46:f4,-87.2,1.4696939,5
231,64:a0:e7:ff:46:fb,-81.75,0.4330127,4
231,64:a0:e7:ff:46:fc,-83.8,1.4696939,10
231,64:a0:e7:ff:46:fd,-80.2,1.4696939,5
231,64:a0:e7:ff:46:fe,-82,3.5901098,9
231,c8:f9:f9:bf:40:70,-78,0,9
231,f0:92:1c:9c:72:1d,-80.916664,1.3819269,12
231,f4:1f:c2:5a:41:b0,-47.18182,4.2064495,22
231,f4:1f:c2:5a:41:b1,-42.95,3.7346356,20
231,f4:1f:c2:5a:41:b2,-46.57895,5.6597915,19
231,f4:1f:c2:5a:41:b3,-40,4.2426405,12
231,f4:1f:c2:5a:41:b4,-47,2.296242,11
231,f4:1f:c2:5a:41:b5,-44.916668,4.271189,12
231,f4:1f:c2:5a:41:b6,-47.75,9.39082,12
231,f4:1f:c2:5a:41:b7,-55.090908,5.9917297,11
231,f4:1f:c2:5a:41:b8,-45.18182,2.6566615,11
231,f4:1f:c2:5a:41:b9,-46.833332,3.1578825,12
231,f4:1f:c2:5a:41:ba,-53.25,7.2815404,12
231,f4:1f:c2:5a:41:bb,-52.909092,6.6120353,11
231,f4:1f:c2:5a:41:bc,-48.916668,3.9042356,12
231,f4:1f:c2:5a:41:bd,-47.42105,3.9645233,19
231,f4:1f:c2:5a:41:be,-45.25,3.8324275,24
231,f4:1f:c2:5a:41:bf,-45.857143,3.8826318,21
231,f4:1f:c2:71:c4:b0,-61.6,4.7581506,20
231,f4:1f:c2:71:c4:b1,-65.166664,4.017323,12
231,f4:1f:c2:71:c4:b2,-63.5,4.649047,22
231,f4:1f:c2:71:c4:b3,-65.25,3.981729,12
231,f4:1f:c2:71:c4:b4,-62.22222,2.5724084,9
231,f4:1f:c2:71:c4:b5,-60.25,4.8669806,12
231,f4:1f:c2:71:c4:b6,-65.916664,3.9466932,12
231,f4:1f:c2:71:c4:b7,-63.666668,4.6963344,12
231,f4:1f:c2:71:c4:b8,-64.75,4.918079,12
231,f4:1f:c2:71:c4:b9,-64.72727,1.2128786,11
231,f4:1f:c2:71:c4:ba,-65.083336,4.5177116,12
231,f4:1f:c2:71:c4:bb,-72.6,5.4258637,5
231,f4:1f:c2:71:c4:bc,-65.666664,4.307616,12
231,f4:1f:c2:71:c4:bd,-62.409092,2.1247265,22
231,f4:1f:c2:71:c4:be,-60.130436,3.3401947,23
231,f4:1f:c2:71:c4:bf,-61.260868,2.8774595,23
233,02:28:b8:ef:73:ee,-85.57895,1.9819127,19
233,0c:27:24:50:64:e1,-83,0,6
233,0c:27:24:51:57:50,-56.157894,1.7248387,19
233,0c:27:24:51:57:51,-57,0,17
233,0c:27:24:51:57:52,-56,1.3093073,14
233,0c:27:24:51:57:53,-56.72222,1.8198154,18
233,0c:27:24:51:57:54,-53.944443,1.0786937,18
233,0c:27:24:51:57:5b,-76.375,1.363589,16
233,0c:27:24:51:57:5c,-75.333336,4.027682,18
233,0c:27:24:51:57:5d,-73.73684,2.1966984,19
233,0c:27:24:51:57:5e,-73.8421,1.9805146,19
233,0c:27:24:51:57:5f,-73.89474,1.9972278,19
